Frame,Object Name,X1,Y1,X2,Y2
208,chair,0,428,473,850
209,person,31,251,471,850
209,remote,238,477,280,537
209,cup,323,430,369,478
210,person,32,251,470,850
210,remote,238,477,281,536
210,chair,0,429,475,850
210,remote,321,431,367,478
211,person,34,251,473,850
211,remote,239,477,281,536
211,chair,0,428,474,850
211,remote,320,432,366,478
212,person,34,252,473,850
212,remote,240,478,281,537
212,cup,319,432,364,479
212,chair,0,428,474,850
213,person,34,252,474,850
213,remote,240,478,281,537
213,cup,318,433,363,480
214,person,34,252,473,850
214,remote,241,479,281,538
214,cup,317,434,362,481
214,chair,0,430,474,850
215,person,34,252,467,850
215,remote,242,480,282,539
215,remote,316,435,361,483
215,chair,-1,431,475,850
216,person,35,253,472,850
216,remote,243,483,282,542
216,chair,0,433,474,850
216,remote,316,437,362,486
217,person,36,254,468,850
217,remote,244,485,283,545
217,remote,316,439,361,487
218,person,36,254,468,850
218,remote,245,489,283,549
218,cup,316,442,363,489
219,person,37,255,457,850
219,remote,247,491,284,551
219,cup,318,445,363,494
220,person,37,256,459,850
220,remote,247,492,284,552
220,remote,320,447,365,497
221,person,38,257,440,850
221,remote,248,492,285,552
221,remote,323,450,367,499
222,person,39,257,441,850
222,remote,248,491,285,551
222,remote,324,452,367,501
222,couch,0,440,435,850
223,person,40,258,442,850
223,remote,248,490,286,550
223,remote,323,454,367,503
224,person,42,259,450,850
224,remote,250,489,287,548
224,remote,323,455,367,503
225,person,43,261,445,850
225,remote,250,489,288,546
225,remote,323,455,366,503
226,person,46,261,468,850
226,remote,322,455,366,504
226,remote,251,488,288,545
226,couch,-1,436,387,851
227,person,47,261,455,850
227,remote,322,456,365,505
227,remote,253,488,291,546
227,chair,-3,427,474,850
228,person,50,262,465,850
228,remote,322,456,365,505
228,remote,254,488,292,546
228,chair,-3,427,472,851
229,person,51,264,463,850
229,remote,321,457,365,506
229,remote,256,488,295,546
230,person,53,264,462,850
230,remote,259,489,296,548
230,remote,321,458,365,505
230,remote,303,458,365,528
231,person,55,265,459,850
231,remote,260,490,298,548
231,remote,318,459,363,508
231,remote,302,459,364,528
231,chair,0,426,349,851
232,person,56,266,458,850
232,remote,260,490,299,550
232,remote,301,460,364,529
232,remote,319,460,363,505
233,person,57,267,461,850
233,remote,261,491,301,550
233,remote,318,460,362,508
233,remote,298,461,362,533
234,person,58,267,454,850
234,remote,263,491,303,549
234,remote,318,461,361,509
234,chair,-3,417,460,851
235,person,60,267,450,850
235,remote,264,491,303,549
235,remote,317,462,360,509
236,person,63,267,440,850
236,remote,265,489,305,547
236,remote,317,463,359,508
236,chair,0,414,429,851
237,person,67,267,448,850
237,remote,267,486,307,546
237,person,453,405,478,499
237,remote,315,464,358,510
238,person,71,267,442,851
238,remote,270,484,309,543
238,person,452,405,478,499
238,remote,315,465,357,511
239,person,77,268,445,850
239,remote,272,481,312,536
239,person,449,404,478,499
240,person,83,267,441,850
240,remote,273,477,317,533
240,person,447,403,478,499
241,person,87,267,426,850
241,remote,276,472,322,528
241,person,444,402,478,499
242,person,90,267,439,851
242,remote,276,466,353,522
242,remote,277,468,325,521
242,person,442,402,478,499
242,chair,0,408,316,851
242,couch,-1,410,318,851
243,person,93,267,434,851
243,remote,276,464,326,517
243,person,439,400,478,500
243,remote,276,464,350,517
243,chair,0,408,318,851
244,person,96,267,432,851
244,remote,278,461,348,512
244,person,436,399,478,499
244,chair,0,407,313,851
244,remote,440,398,456,413
245,person,96,266,429,851
245,remote,278,457,346,509
245,chair,0,407,308,851
245,chair,177,732,317,851
245,person,434,395,478,498
246,person,95,266,429,851
246,remote,277,454,344,508
246,chair,0,406,305,851
246,remote,436,392,448,406
246,person,432,398,479,497
246,chair,175,731,315,851
247,person,93,266,427,851
247,remote,279,450,342,506
247,chair,0,406,294,851
248,person,92,265,424,851
248,remote,278,448,340,507
248,person,427,395,478,496
248,chair,0,406,293,851
248,chair,0,408,205,851
249,person,90,265,422,851
249,remote,278,447,338,507
249,person,425,397,478,498
249,chair,0,407,295,851
250,person,89,265,420,851
250,remote,276,446,335,503
250,person,423,383,478,497
250,chair,0,407,290,851
251,person,88,266,418,851
251,remote,273,446,335,504
251,person,421,383,478,497
251,chair,0,407,289,851
252,person,85,265,415,851
252,remote,270,446,332,504
252,person,419,381,478,497
252,chair,0,408,286,851
253,person,84,266,411,851
253,remote,264,448,329,503
253,person,417,381,478,497
253,chair,0,407,292,851
254,person,81,267,409,851
254,remote,259,449,325,502
254,chair,0,407,286,851
254,person,415,382,478,497
255,person,78,267,407,851
255,remote,253,450,322,500
255,person,413,382,478,497
255,chair,0,406,288,851
256,person,74,266,405,851
256,remote,247,451,318,499
256,person,410,384,478,496
256,chair,0,407,280,851
257,person,71,263,402,851
257,person,408,384,478,496
257,remote,242,452,315,498
257,laptop,412,367,477,413
257,chair,0,407,275,851
258,person,69,263,401,850
258,remote,239,454,289,501
258,remote,273,453,314,495
258,laptop,411,366,475,413
258,chair,0,407,276,851
258,person,407,395,478,494
258,remote,239,453,313,502
258,chair,0,409,182,851
259,person,65,261,399,850
259,remote,234,455,286,501
259,remote,270,451,311,495
259,remote,234,452,311,504
259,chair,0,407,276,851
259,chair,0,408,180,851
259,person,405,394,478,494
259,laptop,409,366,473,412
260,person,60,260,395,850
260,remote,268,450,309,489
260,laptop,407,365,472,411
260,remote,230,456,282,503
260,chair,0,407,276,851
260,cell phone,464,582,479,599
